Id,Neighborhood,Date,Price,NetArea,GrossArea,NumberOfRoom,AgeOfBuilding,LocatedFloor,TotalFloor,Bathroom,Balcony,Furniture,RentIncome
693746242,Feneryolu ,18.05.2019,745.00,88.00,125.00,4.00,0.00,6.00,8.00,2.00,0.00,0.00,0.00
668353299,Feneryolu ,5.03.2019,745.00,90.00,100.00,3.00,13.00,11.00,12.00,2.00,1.00,0.00,0.00
695031231,Goztepe ,23.05.2019,745.00,90.00,110.00,3.00,0.00,8.00,7.00,1.00,0.00,0.00,0.00
694301952,Feneryolu ,20.05.2019,745.00,88.00,125.00,4.00,0.00,6.00,8.00,2.00,0.00,0.00,0.00
694358337,Feneryolu ,20.05.2019,745.00,85.00,100.00,3.00,7.00,8.00,12.00,1.00,1.00,0.00,1.00
695127015,Feneryolu ,24.05.2019,745.00,95.00,130.00,4.00,0.00,6.00,9.00,2.00,0.00,0.00,0.00
695843448,Goztepe ,27.05.2019,745.00,72.00,90.00,3.00,0.00,10.00,15.00,1.00,0.00,0.00,0.00
651971030,Feneryolu ,27.05.2019,745.00,82.00,120.00,4.00,0.00,6.00,8.00,1.00,0.00,0.00,0.00
693044573,Feneryolu ,15.05.2019,745.00,85.00,120.00,4.00,0.00,6.00,8.00,2.00,0.00,0.00,0.00
691955060,Goztepe ,10.05.2019,745.00,90.00,110.00,4.00,0.00,7.00,7.00,2.00,0.00,0.00,0.00
693234139,Feneryolu ,16.05.2019,745.00,88.00,125.00,4.00,0.00,6.00,8.00,2.00,0.00,0.00,0.00
625577400,Goztepe ,9.05.2019,748.00,90.00,120.00,4.00,4.00,2.00,7.00,2.00,1.00,0.00,1.00
502111082,Goztepe ,27.05.2019,749.00,87.00,117.00,4.00,4.00,1.00,7.00,1.00,1.00,0.00,1.00
695232631,Feneryolu ,24.05.2019,749.00,90.00,120.00,4.00,0.00,6.00,13.00,2.00,0.00,0.00,0.00
695759293,Goztepe ,26.05.2019,750.00,85.00,110.00,3.00,7.00,11.00,12.00,2.00,1.00,0.00,0.00
693037171,Goztepe ,15.05.2019,750.00,85.00,120.00,3.00,7.00,11.00,12.00,2.00,0.00,0.00,0.00
694306683,Feneryolu ,20.05.2019,750.00,86.00,120.00,3.00,7.00,11.00,12.00,2.00,1.00,0.00,0.00
664042494,Feneryolu ,27.05.2019,750.00,100.00,115.00,3.00,2.00,13.00,13.00,2.00,1.00,0.00,0.00
576984807,Goztepe ,20.05.2019,750.00,95.00,128.00,4.00,0.00,6.00,7.00,1.00,1.00,0.00,0.00
